ChargerId,OperatorAbb,City,InsertedDate,Status,Lat,Lon
ABF-00008,EDP,Albufeira,2023-06-29,Present,37.0907,-8.243906
ABF-00009,EDP,Albufeira,2023-06-29,Present,37.091404,-8.242397
ABF-00011,BLU,Albufeira,2023-01-14,Present,37.09177,-8.205087
ABF-00012,GLP,Albufeira,2024-12-24,Present,37.129463,-8.282082
ABF-00013,GLP,Albufeira,2024-12-24,Present,37.129463,-8.282082
ABF-00024,GLG,Albufeira,2024-12-24,Present,37.11872,-8.22682
ABF-00035,REP,Albufeira,2025-06-11,Present,37.095833,-8.255161
ABF-00036,GLP,Albufeira,2024-12-24,Present,37.0945,-8.1776
ABF-00037,GLP,Albufeira,2024-12-24,Present,37.095966,-8.177374
ABF-00038,GLP,Albufeira,2024-12-24,Present,37.089745,-8.166816
ABF-00039,GLP,Albufeira,2024-12-24,Present,37.089745,-8.166816
ABF-00040,GLP,Albufeira,2024-12-24,Present,37.089745,-8.166816
ABF-00042,MLT,Albufeira,2024-12-30,Present,37.10333,-8.233533
ABF-00043,GLP,Albufeira,2024-12-24,Present,37.093075,-8.178593
ABF-00044,GLP,Albufeira,2024-12-24,Present,37.09304,-8.177069
ABF-00045,GLP,Albufeira,2024-12-24,Present,37.092587,-8.177121
ABF-00046,GLP,Albufeira,2024-12-24,Present,37.09328,-8.171207
ABF-00050,IHM,Albufeira,2025-01-02,Present,37.12675,-8.237
ABF-00051,IHM,Albufeira,2025-01-02,Present,37.093857,-8.194458
ABF-00053,CAP,Albufeira,2024-03-27,Present,37.12766,-8.280386
ABF-00055,HRZ,Albufeira,2025-07-08,Present,37.127964,-8.283603
ABF-00059,HRZ,Albufeira,2025-01-02,Present,37.089485,-8.212982
ABF-00060,HRZ,Albufeira,2025-01-02,Present,37.089485,-8.212982
ABF-00061,GLP,Albufeira,2024-12-24,Present,37.104336,-8.192684
ABF-00062,IBD,Albufeira,2024-01-16,Present,37.08047,-8.287306
