ChargerId,OperatorAbb,OperatorName,City,Lat,Lon
AVR-00081,MAK,Maksu,Aveiro,40.642212,-8.6577
FNC-00047,EMA,"EMACOM - Telecomunicações da Madeira, Unipessoal, Lda",Funchal,32.647247,-16.9031
FNC-00048,EMA,"EMACOM - Telecomunicações da Madeira, Unipessoal, Lda",Funchal,32.64736,-16.903126
GRD-00049,EDP,EDP Comercial,Guarda,40.554203,-7.242541
GRD-00051,EDP,EDP Comercial,Guarda,40.54438,-7.245912
GRD-00052,EDP,EDP Comercial,Guarda,40.53045,-7.257741
GRD-00053,EDP,EDP Comercial,Guarda,40.532032,-7.262236
GRD-00055,EDP,EDP Comercial,Guarda,40.54179,-7.259612
LRA-00169,CPS,Cepsa Portuguesa Petroleos,Leiria,39.740604,-8.799175
MOBI-BRG-00047,EDP,EDP Comercial,Braga,41.563217,-8.429687
NLS-00009,EDP,EDP Comercial,Nelas,40.52116,-7.861531
NLS-00010,EDP,EDP Comercial,Nelas,40.52116,-7.861531
OER-00258,EDP,EDP Comercial,Oeiras,38.726135,-9.222437
PSR-00012,CPS,Cepsa Portuguesa Petroleos,Ponte de Sôr,39.24554,-8.01722
VLF-00006,EDP,EDP Comercial,Vila Nova de Foz Côa,41.079063,-7.138216
VLF-00007,EDP,EDP Comercial,Vila Nova de Foz Côa,41.079063,-7.138216
