City,Qty
Lisboa,834
Cascais,345
Porto,250
Oeiras,166
Vila Nova de Gaia,162
Loulé,157
Sintra,149
Barreiro,125
Matosinhos,124
Loures,118
Braga,112
Guimarães,105
Leiria,96
Coimbra,93
Montijo,92
Vila Franca de Xira,92
Viseu,92
Santa Maria da Feira,77
Setúbal,72
Albufeira,66
Almada,66
Amadora,63
Portimão,63
Aveiro,61
Faro,60
Seixal,57
Beja,52
Torres Vedras,52
Viana do Castelo,52
Évora,51
Funchal,48
Vila do Conde,48
Grândola,47
Gondomar,46
Santarém,46
Maia,43
Ovar,42
Covilhã,41
Mafra,41
São João da Madeira,41
Castelo Branco,40
Penafiel,40
Valongo,40
Vila Nova de Famalicão,40
Santo Tirso,39
Mealhada,38
Tomar,37
Guarda,36
Póvoa de Varzim,35
Esposende,34
Palmela,34
Barcelos,33
Odivelas,33
Olhão,33
Silves,31
Caldas da Rainha,30
"Lagoa, Faro",30
Vila Real,30
Ílhavo,30
Alcobaça,29
Lagos,29
Nazaré,28
Paredes,28
Alcochete,26
Cantanhede,25
Figueira da Foz,25
Ourém,25
Anadia,24
Chaves,24
Albergaria-a-Velha,23
Caminha,22
Bragança,21
Ponte de Lima,21
Torres Novas,21
Portalegre,20
Abrantes,19
Alenquer,19
Amarante,19
Estarreja,19
Fafe,19
Felgueiras,19
Fundão,19
Lourinhã,19
Peniche,19
Pombal,19
Tavira,19
Óbidos,18
Estremoz,17
Marinha Grande,17
Paços de Ferreira,17
Vila Verde,17
Oliveira do Hospital,16
Ponta Delgada,16
Santa Cruz,16
Sesimbra,16
Lousada,15
Moita,15
Oliveira do Bairro,15
Ribeira Grande,15
Santiago do Cacém,15
Seia,15
Tondela,15
Trofa,15
Alcácer do Sal,14
Azambuja,14
Benavente,14
Lamego,14
Machico,14
Marco de Canaveses,14
Oliveira de Azeméis,14
Vila do Bispo,14
Angra do Heroísmo,13
Arruda dos Vinhos,13
Montemor-o-Novo,13
Porto Santo,13
Águeda,13
Elvas,12
Mirandela,12
Santa Comba Dão,12
Arcos de Valdevez,11
Batalha,11
Bombarral,11
Espinho,11
Lousã,11
Odemira,11
Porto de Mós,11
Rio Maior,11
Salvaterra de Magos,11
Sines,11
Vale de Cambra,11
Monção,10
Vendas Novas,10
Castro Marim,9
Condeixa-a-Nova,9
Mangualde,9
Montemor-o-Velho,9
Terras de Bouro,9
Alcanena,8
Aljustrel,8
Almeida,8
Almeirim,8
Cabeceiras de Basto,8
Celorico da Beira,8
Coruche,8
Entroncamento,8
