ChargerId,OperatorAbb,OperatorName,City,Lat,Lon
CTB-00052,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Castelo Branco,39.808304,-7.51125
CTB-00053,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Castelo Branco,39.808304,-7.51125
CTB-00054,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Castelo Branco,39.808304,-7.51125
CTB-00055,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Castelo Branco,39.808304,-7.51125
CTB-00080,EDP,EDP Comercial,Castelo Branco,39.807076,-7.513273
FLG-00034,GLP,Galp Power OPC,Felgueiras,41.3136,-8.159554
MOBI-LSB-00371,GLP,Galp Power OPC,Lisboa,38.761196,-9.098085
PBL-00042,ATL,"Atlante Infra Portugal, S.A",Pombal,39.916454,-8.618685
TRF-00023,VIA,"Via Verde Transição Energética, S.A.",Trofa,41.263676,-8.563374
TRF-00025,VIA,"Via Verde Transição Energética, S.A.",Trofa,41.263676,-8.563374
TRF-00027,VIA,"Via Verde Transição Energética, S.A.",Trofa,41.263783,-8.56441
VCT-00076,REP,REPSOL PORTUGUESA LDA,Viana do Castelo,41.685066,-8.753214
VCT-00077,REP,REPSOL PORTUGUESA LDA,Viana do Castelo,41.685066,-8.753214
VFL-00004,GLP,Galp Power OPC,Vila Flor,41.295013,-7.170333
VFL-00005,GLP,Galp Power OPC,Vila Flor,41.295013,-7.170333
