ChargerId,OperatorAbb,OperatorName,City,Lat,Lon
ACB-00053,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Alcobaça,39.545452,-8.969396
AVR-00064,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Aveiro,40.63135,-8.640706
ENT-00010,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Entroncamento,39.460663,-8.493379
EVR-00079,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Évora,38.549232,-7.9075146
EVR-00080,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Évora,38.549232,-7.9075146
FIG-00035,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Figueira da Foz,40.162212,-8.847872
MGD-00004,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Mogadouro,41.35356,-6.7082324
MGL-00020,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Mangualde,40.605114,-7.775085
MGR-00020,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Marinha Grande,39.747513,-8.904623
MRT-00003,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Mortágua,40.4038,-8.231198
PFR-00017,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Paços de Ferreira,41.268604,-8.411835
PLM-00041,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Palmela,38.6169,-8.913361
SNS-00018,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Sines,37.966454,-8.85754
TMR-00044,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Tomar,39.609406,-8.399017
TRF-00020,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Trofa,41.339634,-8.545885
TVD-00046,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Torres Vedras,39.0919,-9.339011
VIZ-00014,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",Vizela,41.396297,-8.319357
