Id KLS,Id GLP
ABF-00085,ABF-00112
ABT-00028,ABT-00038
ACB-00016,ACB-00038
ACB-00023,ACB-00039
ACN-00008,ACN-00012
AGD-00012,AGD-00019
AGN-00004,AGN-00007
ALM-00074,ALM-00100
ALM-00079,ALM-00102
ALQ-00016,ALQ-00028
ALR-00006,ALR-00011
AMD-00089,AMD-00109
AMT-00019,AMT-00031
AND-00010,AND-00029
ARV-00014,ARV-00020
AVR-00055,AVR-00092
BBR-00009,BBR-00011
BCL-00026,BCL-00044
BCL-00031,BCL-00045
BGC-00019,BGC-00026
BJA-00029,BJA-00062
BNV-00009,BNV-00018
BRG-00107,BRG-00139
BRG-00108,BRG-00140
BRG-00112,BRG-00141
BRR-00129,BRR-00152
BRR-00137,BRR-00154
BTL-00007,BTL-00012
CBR-00086,CBR-00123
CBR-00087,CBR-00126
CCH-00005,CCH-00007
CDN-00007,CDN-00009
CHV-00020,CHV-00027
CLD-00027,CLD-00039
CLD-00035,CLD-00040
CNT-00019,CNT-00031
CSC-00174,CSC-00414
CSC-00175,CSC-00415
CTB-00035,CTB-00056
CTB-00040,CTB-00057
CTX-00005,CTX-00007
CVL-00016,CVL-00048
CVR-00006,CVR-00008
CVR-00006,CVR-00009
CVR-00007,CVR-00008
CVR-00007,CVR-00009
ELV-00010,ELV-00018
ENT-00009,ENT-00011
EPS-00026,EPS-00039
ESP-00012,ESP-00016
ETR-00016,ETR-00023
ETZ-00024,ETZ-00028
EVR-00040,EVR-00062
FAR-00037,FAR-00075
FAR-00061,FAR-00076
FIG-00033,FIG-00040
FND-00019,FND-00028
GDM-00042,GDM-00058
GDM-00043,GDM-00059
GRD-00029,GRD-00042
GVA-00005,GVA-00006
LLE-00144,LLE-00234
LLE-00194,LLE-00236
LLE-00195,LLE-00237
LMG-00014,LMG-00017
LNH-00010,LNH-00038
LRA-00111,LRA-00155
LRA-00112,LRA-00156
LRA-00118,LRA-00157
LRA-00144,LRA-00158
LRS-00107,LRS-00145
LRS-00108,LRS-00146
LRS-00121,LRS-00147
LRS-00122,LRS-00148
LSA-00004,LSA-00011
LSB-00674,LSB-00977
MAI-00047,MAI-00072
MAI-00048,MAI-00075
MCD-00004,MCD-00007
MCV-00005,MCV-00006
MDL-00011,MDL-00014
MFR-00032,MFR-00048
MFR-00033,MFR-00049
MFR-00039,MFR-00050
MGL-00010,MGL-00019
MGR-00012,MGR-00023
MGR-00017,MGR-00024
MLD-00014,MLD-00045
MMN-00013,MMN-00016
MMV-00005,MMV-00012
MTS-00138,MTS-00184
MTS-00140,MTS-00185
MTS-00141,MTS-00186
MTS-00167,MTS-00187
NLS-00003,NLS-00008
NZR-00037,NZR-00038
OBR-00008,OBR-00017
ODV-00017,ODV-00047
ODV-00022,ODV-00048
ODV-00024,ODV-00049
OER-00215,OER-00255
OER-00217,OER-00254
OHP-00014,OHP-00022
ORM-00020,ORM-00029
OVR-00019,OVR-00032
PBL-00019,PBL-00028
PCV-00003,PCV-00007
PLM-00035,PLM-00051
PNI-00013,PNI-00020
PRG-00003,PRG-00017
PRT-00232,PRT-00310
PRT-00233,PRT-00311
PRT-00234,PRT-00312
PRT-00235,PRT-00313
PRT-00248,PRT-00314
PRT-00249,PRT-00315
PSR-00011,PSR-00018
PTG-00022,PTG-00031
PTL-00014,PTL-00027
PTM-00054,PTM-00074
RMR-00008,RMR-00014
RMZ-00008,RMZ-00009
SCD-00006,SCD-00012
SEI-00012,SEI-00017
SLV-00016,SLV-00033
SMG-00010,SMG-00014
SNT-00143,SNT-00199
SNT-00152,SNT-00200
SRE-00006,SRE-00007
SRP-00005,SRP-00006
SSB-00017,SSB-00021
STB-00072,STB-00099
STB-00073,STB-00098
STB-00074,STB-00100
STB-00084,STB-00101
STR-00036,STR-00065
STS-00024,STS-00053
STS-00027,STS-00054
SXL-00053,SXL-00069
SXL-00054,SXL-00071
SXL-00055,SXL-00070
SXL-00056,SXL-00072
TMR-00035,TMR-00048
TND-00010,TND-00013
TNV-00019,TNV-00025
TVD-00038,TVD-00085
TVR-00023,TVR-00027
VBP-00012,VBP-00019
VCD-00039,VCD-00058
VCD-00046,VCD-00059
VCD-00050,VCD-00060
VCT-00044,VCT-00065
VCT-00046,VCT-00066
VDG-00002,VDG-00003
VIS-00098,VIS-00114
VIS-00099,VIS-00116
VIS-00102,VIS-00115
VLG-00035,VLG-00051
VLG-00036,VLG-00052
VLG-00037,VLG-00053
VLN-00006,VLN-00007
VND-00012,VND-00015
VNF-00042,VNF-00054
VNF-00043,VNF-00055
VNF-00044,VNF-00056
VNG-00150,VNG-00194
VNG-00151,VNG-00195
VNG-00152,VNG-00196
VNG-00170,VNG-00202
VRL-00030,VRL-00048
VRS-00009,VRS-00010
VVC-00003,VVC-00007
