Rank,OperatorAbb,OperatorName,Qty,MarketShare,CumulativeMarketShare
1,GRG,Grupo Galp (GLP+GLG+MLT),1747,0.2260903325999741,0.2260903325999741
2,EDP,EDP Comercial,1553,0.20098356412579269,0.4270738967257668
3,HRZ,"Powerdot, S.A",740,0.09576808593244468,0.5228419826582115
4,TRK,WOWPLUG,625,0.0808852077132134,0.6037271903714249
5,ATL,"Atlante Infra Portugal, S.A",575,0.07441439109615633,0.6781415814675812
6,MAK,Maksu,347,0.044907467322376084,0.7230490487899572
7,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",210,0.027177429791639705,0.750226478581597
8,HLX,"Helexia II Energy Services, Lda.",208,0.026918597126957423,0.7771450757085544
9,REP,REPSOL PORTUGUESA LDA,186,0.02407143781545231,0.8012165135240067
10,IBD,"Iberdrola Clientes Portugal, Unipessoal, Lda",182,0.023553772486087744,0.8247702860100945
11,PRI,"Prio.E Mobility Solutions, Lda",158,0.02044778050990035,0.8452180665199949
12,MOT,Mota-Engil Renewing,150,0.01941244985117122,0.8646305163711661
13,EML,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.",72,0.009317975928562185,0.8739484922997283
14,SEG,SEGMA - Serviços de Engenharia Gestão e Manutenção Lda,67,0.008670894266856478,0.8826193865665847
15,KLS,"Kilometer Low Cost II Serviços, SA",64,0.008282645269833053,0.8909020318364178
16,DTE,"DTE, Instalacoes Especiais",57,0.007376730943445063,0.8982787627798628
17,ECI,ECOINSIDE,49,0.006341400284715931,0.9046201630645787
18,EVC,"EVCE POWER, LDA. / MOBISMART",43,0.005564902290669083,0.9101850653552478
19,FAC,FactorENERGIA,38,0.004917820628963375,0.9151028859842112
20,HEX,"HEXAGONAL OCEAN, LDA",38,0.004917820628963375,0.9200207066131746
21,LOG,uCharge,33,0.004270738967257668,0.9242914455804323
22,LCG,"Loulé Concelho Global, EM",32,0.004141322634916527,0.9284327682153488
23,PLG,"e-Plug, Lda",30,0.0038824899702342435,0.932315258185583
24,CPS,Cepsa Portuguesa Petroleos,29,0.003753073637893102,0.9360683318234762
25,EMA,"EMACOM - Telecomunicações da Madeira, Unipessoal, Lda",25,0.0032354083085285364,0.9393037401320047
26,HGP,"High Green Power, Unipessoal Lda.",25,0.0032354083085285364,0.9425391484405332
27,MOO,Siva - Sociedade de Importação de Veículos Automóveis,25,0.0032354083085285364,0.9457745567490617
28,ENB,"Enable Mobility Solutions, S.A.",23,0.002976575643846253,0.948751132392908
29,EVP,"EVpower, Charging Solutions Lda",22,0.002847159311505112,0.9515982917044131
