Rank,Operator,OperatorName,Qty,MarketShare,CumulativeMarketShare
1,GLP,Galp Power OPC,1402,0.20345378029313596,0.20345378029313596
2,EDP,EDP Comercial,1332,0.19329560296038312,0.39674938325351905
3,HRZ,"Powerdot, S.A",706,0.10245247424176462,0.4992018574952837
4,ATL,"Atlante Infra Portugal, S.A",545,0.07908866637643303,0.5782905238717168
5,TRK,WOWPLUG,483,0.07009142359599478,0.6483819474677115
6,MAK,Maksu,280,0.040632709331011464,0.689014656798723
7,HLX,"Helexia II Energy Services, Lda.",187,0.027136845160354084,0.7161515019590771
8,REP,REPSOL PORTUGUESA LDA,176,0.02554056015092149,0.7416920621099985
9,IBD,"Iberdrola Clientes Portugal, Unipessoal, Lda",171,0.024814976055724858,0.7665070381657234
10,GLG,Galpgeste,157,0.022783340589174285,0.7892903787548977
11,MOT,Mota-Engil Renewing,134,0.019445653751269772,0.8087360325061674
12,FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",132,0.01915542011319112,0.8278914526193586
13,PRI,"Prio.E Mobility Solutions, Lda",129,0.01872006965607314,0.8466115222754317
14,MLT,Mobiletric,116,0.016833551008561893,0.8634450732839936
15,KLS,"Kilometer Low Cost II Serviços, SA",71,0.010303294151792193,0.8737483674357858
16,EML,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.",64,0.009287476418516906,0.8830358438543027
17,SEG,SEGMA - Serviços de Engenharia Gestão e Manutenção Lda,62,0.008997242780438253,0.892033086634741
18,ECI,ECOINSIDE,48,0.006965607313887679,0.8989986939486286
19,EVC,"EVCE POWER, LDA. / MOBISMART",43,0.006240023218691046,0.9052387171673197
20,DTE,"DTE, Instalacoes Especiais",40,0.005804672761573066,0.9110433899288928
21,FAC,FactorENERGIA,38,0.005514439123494413,0.9165578290523871
22,HEX,"HEXAGONAL OCEAN, LDA",38,0.005514439123494413,0.9220722681758816
23,LOG,uCharge,32,0.004643738209258453,0.9267160063851401
24,PLG,"e-Plug, Lda",31,0.0044986213902191265,0.9312146277753591
25,LCG,"Loulé Concelho Global, EM",30,0.0043535045711798,0.935568132346539
26,MOO,Siva - Sociedade de Importação de Veículos Automóveis,26,0.003773037295022493,0.9393411696415614
