OperatorAbb,OperatorOtherAbb,OperatorName,CountryIso,Tin,Phone
ACC,ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",PT,517229765,214241810
ALF,ALFA,Alfa Energia,PT,514362650,234661194
ATL,ATLA,"Atlante Infra Portugal, S.A",PT,513989536,935991897
AUC,AUCH,Auchan Retail Portugal S.A,PT,503003808,925210850
BEL,BELM,Bel Mobility,PT,518083594,932996119
BLU,BLUE,"Bluecharge, Lda",PT,515096598,211119966
BRI,BRIG,Brightcity S.A.,PT,516104659,914261887
CAB,CABL,Cable Exanergia Portugal,PT,516273884,34955638805
CAP,CAPW,"Capwatt Services, S.A.",PT,508523460,220129500
CEV,CEVE,CEVE - Cooperativa Eléctrica do Vale D’Este C.R.L.,PT,500960577,252309651
CGG,CARG,Cargga Inteligente,PT,515146234,939853881
CIR,CIRC,"Circuitos Energy Solutions, Lda.",PT,507910826,224154612
CME,CMEL,CME,PT,501369295,939007737
CON,CONM,"ConectaMais, Lda",PT,517820358,213933190
CPS,CEPS,Cepsa Portuguesa Petroleos,PT,500513295,217249360
CSC,CSCP,Cascais Próxima,PT,504853635,214647760
DOU,DOUR,"Douromobe  - Comercializadora de Energia, S.A.",PT,510465544,932505510
DTE,DTEI,"DTE, Instalacoes Especiais",PT,501866116,914108184
ECI,ECOI,ECOINSIDE,PT,507580745,226173343
EDP,EDPC,EDP Comercial,PT,503504564,918888888
EGR,EVGR,"Green Evolut, LDA",PT,516067885,912257529
EMA,EMAC,"EMACOM - Telecomunicações da Madeira, Unipessoal, Lda",PT,511109741,800916624
EML,EMEL,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.",PT,503311332,211163060
EMT,EMOB,"Emobtec - Tec. Mobilidade Elétrica, unipessoal Lda",PT,514340711,915770780
ENB,ENBL,"Enable Mobility Solutions, S.A.",PT,518306240,935991897
ENE,ENER,"Enercom, Vasconcelos e Almeida engenharia, lda",PT,510155642,210173409
EPO,EPOC,EPOCH,PT,504612069,214707199
EVA,EVAE,"EVAZ Energy, LDA",PT,518378462,912549428
EVC,EVCE,"EVCE POWER, LDA. / MOBISMART",PT,514385472,800301303
EVI,EVIO,EVIO - Electrical Mobility,PT,515681890,220164897
EVP,EVPW,"EVpower, Charging Solutions Lda",PT,514044110,212435107
EZC,EZC3,"EZ - CHARG3, Lda",PT,516550942,918590002
EZU,EZUR,Ezu Energia,PT,513983511,966044634
FAC,FACT,FactorENERGIA,PT,266666666,291764204
FCT,FCTO,"CHARGING TOGETHER, UNIPESSOAL LDA",PT,517696010,800181043
FRI,FRIO,"Distrifrio Supermercados, Lda",PT,504131249,253439030
FRR,FRTR,"FRONTROW, LDA",PT,513403760,255810219
GEN,GENJ,Generation Journey Lda,PT,515085642,931967475
GLD,GOLD,Gold Energy,PT,507857542,259348634
GLG,GLPG,Galpgeste,PT,999999999,0123123
GLP,GLPP,Galp Power OPC,PT,504723456,918888888
GRC,GRCA,"Grcapp, Unipessoal Lda",PT,509976719,910847445
GRN,GREE,"GREEN CHARGE - MOBILIDADE ELÉTRICA, LDA",PT,513822445,808200600
GSF,GASF,"GASFOMENTO - Sistemas e Instalações de Gás, S.A.",PT,503460656,218391100
