date,numbers,stars,jackpot
2025-07-29,5 6 42 44 46,4 8,150232733
2025-07-25,6 7 23 32 36,11 12,137766680
2025-07-22,8 15 26 33 41,9 10,123233143
2025-07-18,13 19 25 42 45,2 9,111646530
2025-07-15,24 38 41 45 49,1 6,96858365
2025-07-11,8 23 24 45 49,2 10,86799585
2025-07-08,1 8 9 18 50,1 5,74533673
2025-07-04,19 29 42 45 48,5 7,64874337
2025-07-01,1 17 28 32 34,7 8,51016731
2025-06-27,19 27 36 45 49,7 10,40322654
2025-06-24,7 16 21 23 39,7 11,26938273
2025-06-20,5 8 24 37 47,3 9,0
2025-06-17,13 22 23 44 49,3 5,250000000
2025-06-13,2 28 40 43 45,3 7,250000000
2025-06-10,19 36 39 40 45,5 6,250000000
2025-06-06,20 21 29 30 35,2 12,250000000
2025-06-03,12 15 38 47 48,5 7,238816942
2025-05-30,4 7 14 33 36,1 5,218316096
2025-05-27,12 30 38 40 41,4 12,198011280
2025-05-23,10 29 43 46 49,7 12,182346242
2025-05-20,1 8 13 29 47,5 6,164911120
2025-05-16,6 9 25 37 46,6 12,151408194
2025-05-13,9 19 44 47 50,2 9,135332717
2025-05-09,15 18 25 29 47,5 9,123011264
2025-05-06,8 23 24 47 48,4 9,108197286
2025-05-02,3 5 19 21 49,1 10,97254382
2025-04-29,2 9 24 30 41,1 11,83786487
2025-04-25,13 22 32 39 41,1 12,74400108
2025-04-22,7 28 33 37 47,9 12,62465228
2025-04-18,20 27 35 39 48,3 8,52448887
2025-04-15,3 31 33 38 44,6 12,39576503
2025-04-11,14 28 34 46 49,3 8,29653056
2025-04-08,3 14 15 48 49,1 7,17000000
2025-04-04,27 39 41 45 50,5 7,30117535
2025-04-01,9 24 30 46 49,4 12,17000000
2025-03-28,10 21 30 42 45,1 9,250000000
2025-03-25,1 3 18 33 36,2 6,220427177
2025-03-21,9 17 18 21 50,5 12,200584076
2025-03-18,4 9 35 46 50,8 11,179328993
2025-03-14,8 10 33 35 49,2 9,163297044
2025-03-11,13 36 37 42 47,7 11,144588956
2025-03-07,6 10 27 32 48,3 8,130000000
2025-03-04,15 20 29 35 42,2 9,17000000
2025-02-28,7 16 31 43 46,5 9,52448674
2025-02-25,17 22 23 24 44,6 11,38919455
2025-02-21,1 3 11 20 43,2 11,29270259
2025-02-18,5 14 25 26 40,5 7,17000000
2025-02-14,4 14 31 36 38,3 10,78450739
2025-02-11,3 21 36 41 46,1 6,64222634
2025-02-07,10 23 24 29 45,8 10,53335818
2025-02-04,3 4 29 39 43,5 10,39688311
2025-01-31,22 30 41 44 49,2 7,29691765
2025-01-28,9 37 41 42 49,1 9,17000000
2025-01-24,2 11 19 30 49,3 8,99397573
2025-01-21,6 8 14 27 41,4 5,85948097
2025-01-17,8 15 24 35 42,6 8,76208290
2025-01-14,18 20 29 41 48,5 9,63894652
2025-01-10,12 27 36 37 42,6 7,52905618
2025-01-07,20 33 35 41 47,4 12,39138031
2025-01-03,3 19 29 35 37,1 9,29139979
2024-12-31,19 24 26 28 33,8 12,17000000
2024-12-27,12 22 27 33 45,4 8,41205363
2024-12-24,6 10 16 23 24,11 12,28754036
2024-12-20,10 14 21 33 50,6 9,17000000
2024-12-17,1 3 4 21 29,2 7,77557137
2024-12-13,1 15 25 42 50,4 10,67852509
2024-12-10,5 24 25 29 47,5 9,50987545
2024-12-06,14 25 39 44 47,6 10,40367384
2024-12-03,23 25 34 46 47,6 8,27018617
2024-11-29,8 17 18 29 43,5 9,17000000
2024-11-26,7 11 25 31 40,9 12,212448937
2024-11-22,10 11 12 29 31,8 11,194669133
2024-11-19,4 13 20 28 49,7 12,167885088
2024-11-15,7 8 34 39 44,2 6,153801395
2024-11-12,10 11 12 22 50,1 10,137211026
2024-11-08,2 33 35 42 48,1 3,124837601
2024-11-05,1 8 19 37 50,6 9,109544201
2024-11-01,7 33 38 44 50,2 7,98005009
2024-10-29,1 2 19 30 45,10 12,85747959
2024-10-25,4 17 20 25 45,8 9,76313062
2024-10-22,3 13 27 30 46,1 2,63353583
2024-10-18,4 15 23 30 39,1 12,53040810
2024-10-15,2 15 32 36 48,3 9,39530015
2024-10-11,16 23 32 46 49,4 5,29821152
2024-10-08,7 14 19 34 40,6 8,17000000
2024-10-04,4 8 16 17 20,1 6,162256512
2024-10-01,8 22 29 41 42,9 11,143969599
2024-09-27,7 20 21 27 38,5 12,130000000
2024-09-24,18 20 21 36 49,3 5,65337927
2024-09-20,16 25 29 34 37,3 7,54712555
2024-09-17,20 30 32 41 44,1 10,41391923
2024-09-13,10 15 17 31 42,4 12,31511704
2024-09-10,6 29 46 47 48,2 9,17000000
2024-09-06,12 14 34 41 47,3 4,149017789
2024-09-03,7 9 11 16 45,2 5,132447715
2024-08-30,3 24 27 33 42,4 6,119772690
2024-08-27,1 8 11 42 47,4 11,104936241
2024-08-23,9 15 24 47 50,8 9,94498718
2024-08-20,7 10 13 18 26,3 12,81964326
2024-08-16,15 17 29 45 49,1 10,72769716
2024-08-13,15 16 39 40 47,1 6,60887191
2024-08-09,21 23 25 33 44,4 10,50649440
2024-08-06,1 18 27 41 50,2 12,38085988
2024-08-02,5 7 12 33 46,3 12,28776998
2024-07-30,9 25 28 37 38,2 8,17000000
2024-07-26,4 19 23 35 37,4 8,28649442
2024-07-23,4 8 10 16 34,4 8,17000000
2024-07-19,15 22 35 44 48,6 7,52363998
2024-07-16,2 32 35 36 39,7 8,38567424
2024-07-12,12 18 24 25 39,8 10,29128125
2024-07-09,6 15 19 28 39,7 11,17000000
2024-07-05,11 13 29 31 47,1 11,39132032
2024-07-02,2 7 34 35 46,6 8,26534528
2024-06-28,10 16 18 22 35,1 10,17000000
2024-06-25,14 16 37 45 49,5 7,213887390
2024-06-21,3 4 7 11 17,3 12,195721466
2024-06-18,3 11 33 34 36,1 12,176125264
2024-06-14,2 13 16 24 32,1 7,161234811
2024-06-11,7 15 34 45 48,7 9,143550510
2024-06-07,15 16 26 30 37,5 8,130000000
2024-06-04,6 7 9 14 43,3 4,70207869
2024-05-31,4 7 16 33 34,7 8,61212842
2024-05-28,16 18 35 36 41,6 7,47755445
2024-05-24,9 12 18 22 50,1 3,38150341
2024-05-21,11 13 14 34 48,7 9,25835023
2024-05-17,18 31 32 41 46,1 10,17000000
2024-05-14,2 8 17 28 35,7 9,48748900
2024-05-10,13 28 29 44 48,4 12,38735491
2024-05-07,35 36 41 42 45,6 11,26436748
2024-05-03,6 9 10 30 49,3 4,17000000
2024-04-30,13 22 24 33 47,1 5,166790050
2024-04-26,2 20 39 40 47,4 8,152030614
2024-04-23,6 9 11 32 49,2 10,133997921
2024-04-19,10 20 40 44 46,1 3,121428317
2024-04-16,22 29 31 39 46,3 7,106321540
2024-04-12,2 3 12 16 45,2 11,95455077
2024-04-09,19 23 26 27 46,2 10,82919693
2024-04-05,13 18 26 35 37,8 11,73573473
2024-04-02,1 23 31 36 48,5 8,61841233
2024-03-29,16 17 35 36 49,1 10,52158877
2024-03-26,2 13 14 26 29,5 6,38982717
2024-03-22,8 11 23 32 44,9 10,29416867
2024-03-19,7 16 18 20 32,1 3,17000000
2024-03-15,1 4 31 34 40,4 5,130000000
2024-03-12,13 19 30 38 46,4 12,72905622
2024-03-08,8 11 12 16 44,4 7,63706419
2024-03-05,2 15 17 23 36,3 8,49724673
2024-03-01,4 7 19 20 34,2 4,39478163
2024-02-27,3 4 9 12 20,5 6,26481832
2024-02-23,24 27 28 30 49,1 12,17000000
2024-02-20,23 31 37 42 48,3 7,73448160
2024-02-16,8 13 14 24 26,1 2,64205788
2024-02-13,13 17 18 20 46,4 9,50200268
2024-02-09,23 24 35 37 45,9 12,39863292
2024-02-06,2 7 21 28 45,5 11,26671243
2024-02-02,13 20 23 27 42,5 9,17000000
2024-01-30,5 10 19 27 30,5 6,144549616
2024-01-26,8 19 32 41 42,9 12,130000000
2024-01-23,14 23 39 48 50,3 12,17000000
2024-01-19,27 28 44 48 50,7 12,17000000
2024-01-16,10 18 21 33 45,8 12,87952574
2024-01-12,16 17 18 45 49,9 12,78232869
2024-01-09,2 9 12 39 40,1 3,64655930
2024-01-05,4 7 18 39 50,3 8,53860693
2024-01-02,7 15 18 46 49,10 12,40104043
2023-12-29,2 3 19 36 37,6 9,30547317
2023-12-26,8 27 30 35 47,9 10,17000000
2023-12-22,6 14 34 44 49,4 12,55662868
2023-12-19,10 20 41 43 45,2 12,40468227
2023-12-15,2 13 37 38 48,5 9,30315474
2023-12-12,6 28 37 39 43,9 12,17000000
2023-12-08,17 30 42 48 50,4 8,240000000
2023-12-05,4 6 20 24 25,5 9,218859088
2023-12-01,4 10 14 38 50,9 12,200000000
2023-11-28,12 16 27 33 44,7 8,83068817
2023-11-24,15 20 29 39 48,1 7,73689177
2023-11-21,19 29 34 46 47,2 3,61945882
2023-11-17,2 24 26 46 50,2 7,51871164
2023-11-14,13 16 36 44 50,3 5,38766955
2023-11-10,10 21 30 38 42,2 12,29442596
2023-11-07,8 10 11 30 39,4 10,17000000
2023-11-03,8 21 31 39 47,5 9,31218086
2023-10-31,5 7 20 40 50,2 10,17000000
2023-10-27,29 33 35 48 49,3 8,17000000
2023-10-24,8 16 18 31 34,6 9,26274769
2023-10-20,2 20 28 40 45,1 5,17000000
2023-10-17,10 17 20 35 40,3 4,67318140
2023-10-13,21 26 28 40 41,2 4,56657304
2023-10-10,18 20 22 33 43,3 9,40033037
2023-10-06,21 29 31 34 43,2 9,30163856
2023-10-03,6 20 22 24 45,4 5,17000000
2023-09-29,9 11 13 21 32,2 7,130000000
2023-09-26,2 6 14 19 23,5 7,40110282
2023-09-22,3 23 24 34 35,5 8,30052281
2023-09-19,10 15 31 41 42,2 5,17000000
2023-09-15,12 14 21 45 48,8 11,54951738
2023-09-12,5 14 36 40 42,2 11,39749427
2023-09-08,10 20 21 26 33,3 4,29856760
2023-09-05,1 7 24 41 48,10 12,17000000
2023-09-01,4 5 35 37 43,5 6,109268140
2023-08-29,21 23 32 40 49,8 11,94132132
2023-08-25,16 17 34 35 44,5 10,83895709
2023-08-22,2 9 23 32 40,6 7,71241834
2023-08-18,23 25 30 44 47,9 12,61993456
2023-08-15,3 5 9 32 43,6 10,48439436
2023-08-11,4 6 10 13 34,3 5,39046910
2023-08-08,8 9 33 35 40,3 6,26419369
2023-08-04,15 20 31 44 48,1 3,17000000
2023-08-01,25 27 35 40 45,7 11,72144196
2023-07-28,7 32 33 34 38,6 9,62712326
2023-07-25,5 7 11 27 37,6 12,48942250
2023-07-21,7 31 33 35 36,7 10,38938247
2023-07-18,4 12 34 35 45,1 9,26319523
2023-07-14,5 8 29 35 48,5 6,17000000
2023-07-11,2 11 28 42 48,4 9,73242322
2023-07-07,2 11 12 19 38,4 8,63819633
2023-07-04,14 17 23 36 44,2 8,49799831
2023-06-30,1 6 25 29 36,7 10,39350951
2023-06-27,17 22 23 27 44,1 7,26366576
2023-06-23,1 3 11 33 46,10 11,17000000
2023-06-20,11 17 28 32 35,5 6,64343648
2023-06-16,7 26 34 41 44,9 11,53695272
2023-06-13,15 16 21 41 50,5 6,39998137
2023-06-09,18 26 36 41 50,11 12,29999077
2023-06-06,13 21 32 39 50,2 10,17000000
2023-06-02,3 12 15 25 43,10 11,130000000
2023-05-30,27 29 32 33 47,2 8,87066382
2023-05-26,15 25 37 38 41,1 7,77603769
2023-05-23,5 6 14 23 34,2 11,65331075
2023-05-19,18 27 34 41 49,3 9,54581705
2023-05-16,4 6 9 14 37,4 11,40834212
2023-05-12,9 10 13 39 44,4 6,30501494
2023-05-09,13 17 21 28 46,7 9,17000000
2023-05-05,3 8 18 34 49,3 7,159123225
2023-05-02,7 32 44 47 48,7 8,141358073
2023-04-28,11 13 16 23 34,1 10,129017022
2023-04-25,10 29 30 40 45,1 12,113203135
2023-04-21,7 8 18 33 42,2 8,101652719
2023-04-18,17 21 23 35 37,10 11,86295887
2023-04-14,4 11 37 44 49,6 7,76614030
2023-04-11,10 14 16 19 29,2 10,64268424
2023-04-07,5 26 28 36 46,6 12,53926196
2023-04-04,10 16 31 33 50,3 8,40419101
2023-03-31,16 18 28 34 47,5 10,30291562
2023-03-28,16 21 34 36 44,9 10,17000000
2023-03-24,5 12 25 36 46,6 10,66287741
2023-03-21,1 9 20 29 32,2 3,51752818
2023-03-17,5 15 26 37 49,8 11,40979052
2023-03-14,16 26 28 31 46,11 12,27135288
2023-03-10,9 16 37 38 48,2 7,17000000
2023-03-07,11 13 24 35 50,6 11,144966361
2023-03-03,3 6 8 24 50,10 11,130000000
2023-02-28,12 29 33 37 47,5 10,17000000
2023-02-24,7 23 34 42 48,1 3,102242065
2023-02-21,21 22 34 41 49,2 7,87872368
2023-02-17,8 23 27 42 45,1 9,78038271
2023-02-14,24 26 38 43 46,2 3,63133766
2023-02-10,3 13 25 36 47,3 8,51805568
2023-02-07,2 8 34 44 47,3 9,37368401
2023-02-03,2 14 17 32 45,3 10,26903914
