idx,party_id,count,mrkt_shr,mrkt_shr_acc
1,EDP,1054,0.20462046204620463,0.20462046204620463
2,GLP,843,0.16365754222481071,0.3682780042710153
3,HRZ,629,0.12211221122112212,0.49039021549213746
4,ATL,455,0.0883323626480295,0.5787225781401669
5,KLS,313,0.0607649000194137,0.6394874781595806
6,TRK,191,0.0370801786060959,0.6765676567656765
7,MAK,170,0.033003300330033,0.7095709570957095
8,GLG,156,0.030285381479324403,0.7398563385750339
9,REP,143,0.027761599689380703,0.7676179382644146
10,IBD,134,0.026014366142496602,0.7936323044069112
11,MLT,117,0.022714036109493303,0.8163463405164045
12,HLX,113,0.0219374878664337,0.8382838283828382
13,PRI,96,0.018637157833430402,0.8569209862162687
14,MOT,72,0.013977868375072802,0.8708988545913414
15,EML,56,0.0108716754028344,0.8817705299941758
16,SEG,44,0.0085420306736556,0.8903125606678314
17,FAC,42,0.008153756552125802,0.8984663172199572
18,EVC,36,0.006988934187536401,0.9054552514074936
19,PLG,31,0.006018248883711901,0.9114735002912056
20,FCT,30,0.005824111822947,0.9172976121141525
21,LOG,30,0.005824111822947,0.9231217239370995
22,MOO,26,0.005047563579887401,0.9281692875169869
23,LCG,24,0.004659289458357601,0.9328285769753445
24,HEX,23,0.0044651523975927,0.9372937293729372
25,GEN,21,0.004076878276062901,0.941370607649
26,HGP,21,0.004076878276062901,0.945447485925063
27,EVP,20,0.0038827412152980002,0.949330227140361
28,GRN,18,0.0034944670937682005,0.9528246942341292
29,ECI,18,0.0034944670937682005,0.9563191613278974
30,BLU,16,0.0031061929722384003,0.9594253543001358
31,VEI,15,0.0029120559114735,0.9623374102116092
32,CAP,14,0.0027179188507086,0.9650553290623178
33,EMA,13,0.0025237817899437004,0.9675791108522616
34,CIR,12,0.0023296447291788003,0.9699087555814404
35,CPS,11,0.0021355076684139,0.9720442632498543
36,IOY,11,0.0021355076684139,0.9741797709182681
37,GRC,10,0.0019413706076490001,0.9761211415259171
38,LUZ,10,0.0019413706076490001,0.9780625121335661
39,DTE,9,0.0017472335468841002,0.9798097456804502
40,CSC,8,0.0015530964861192001,0.9813628421665694
41,EVI,7,0.0013589594253543,0.9827218015919237
42,MOB,7,0.0013589594253543,0.9840807610172779
43,NRG,6,0.0011648223645894002,0.9852455833818673
44,CGG,6,0.0011648223645894002,0.9864104057464567
45,VIS,6,0.0011648223645894002,0.987575228111046
46,IMG,5,0.0009706853038245001,0.9885459134148705
47,CEV,4,0.0007765482430596001,0.9893224616579301
48,NEU,4,0.0007765482430596001,0.9900990099009898
49,IHM,3,0.0005824111822947001,0.9906814210832845
50,SCR,3,0.0005824111822947001,0.9912638322655792
51,CAB,3,0.0005824111822947001,0.991846243447874
52,INT,2,0.00038827412152980003,0.9922345175694037
53,SGM,2,0.00038827412152980003,0.9926227916909335
54,SLV,2,0.00038827412152980003,0.9930110658124632
55,PRP,2,0.00038827412152980003,0.993399339933993
56,EMT,2,0.00038827412152980003,0.9937876140555227
57,SFF,2,0.00038827412152980003,0.9941758881770525
58,WEN,2,0.00038827412152980003,0.9945641622985822
59,EZU,2,0.00038827412152980003,0.994952436420112
60,SDB,2,0.00038827412152980003,0.9953407105416417
61,EPO,2,0.00038827412152980003,0.9957289846631715
62,GLD,2,0.00038827412152980003,0.9961172587847013
63,GSF,2,0.00038827412152980003,0.996505532906231
64,SLX,2,0.00038827412152980003,0.9968938070277608
65,SAR,1,0.00019413706076490002,0.9970879440885256
66,PTE,1,0.00019413706076490002,0.9972820811492905
67,PAC,1,0.00019413706076490002,0.9974762182100554
68,FRR,1,0.00019413706076490002,0.9976703552708203
69,FRI,1,0.00019413706076490002,0.9978644923315851
70,ALF,1,0.00019413706076490002,0.99805862939235
71,MOA,1,0.00019413706076490002,0.9982527664531149
72,JHO,1,0.00019413706076490002,0.9984469035138798
73,IVP,1,0.00019413706076490002,0.9986410405746446
74,ZUN,1,0.00019413706076490002,0.9988351776354095
75,MEO,1,0.00019413706076490002,0.9990293146961744
76,EGR,1,0.00019413706076490002,0.9992234517569393
77,EZC,1,0.00019413706076490002,0.9994175888177042
78,KLC,1,0.00019413706076490002,0.999611725878469
79,ITV,1,0.00019413706076490002,0.9998058629392339
80,DOU,1,0.00019413706076490002,0.9999999999999988
