LOCATION_UID;CONNECTOR_ID;VALID_FROM;COMPONENT_TYPE;PRICE;MIN_DURATION;MAX_DURATION;MIN_KWH;MAX_KWH;START_HOUR;END_HOUR
0001PL0001;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0001;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0001;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0001;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0002;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0002;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0002;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0002;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0003;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0003;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0003;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0003;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0004;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0004;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0004;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0004;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0005;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0005;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0005;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0005;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0006;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0006;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0006;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0006;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0007;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0007;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0007;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0007;2;2022-04-11;TIME;0,025;0;;;;;
0001PL0008;1;2022-04-11;FLAT;0,2964;;;;;;
0001PL0008;1;2022-04-11;TIME;0,025;0;;;;;
0001PL0008;2;2022-04-11;FLAT;0,2964;;;;;;
0001PL0008;2;2022-04-11;TIME;0,025;0;;;;;
0001PR0009;1;2022-04-11;FLAT;0,2964;;;;;;
0001PR0009;1;2022-04-11;TIME;0,08;0;;;;;
0001PR0009;2;2022-04-11;FLAT;0,2964;;;;;;
0001PR0009;2;2022-04-11;TIME;0,08;0;;;;;
0001PR0010;1;2022-04-11;FLAT;0,2964;;;;;;
0001PR0010;1;2022-04-11;TIME;0,08;0;;;;;
0001PR0010;2;2022-04-11;FLAT;0,2964;;;;;;
0001PR0010;2;2022-04-11;TIME;0,08;0;;;;;
0002PL0003;1;2022-04-11;FLAT;0,2964;;;;;;
0002PL0003;1;2022-04-11;TIME;0,025;0;;;;;
0002PL0003;2;2022-04-11;FLAT;0,2964;;;;;;
0002PL0003;2;2022-04-11;TIME;0,025;0;;;;;
0002PL0004;1;2022-04-11;FLAT;0,2964;;;;;;
0002PL0004;1;2022-04-11;TIME;0,025;0;;;;;
0002PL0004;2;2022-04-11;FLAT;0,2964;;;;;;
0002PL0004;2;2022-04-11;TIME;0,025;0;;;;;
0002PL0005;1;2022-04-11;FLAT;0,2964;;;;;;
0002PL0005;1;2022-04-11;TIME;0,025;0;;;;;
0002PL0005;2;2022-04-11;FLAT;0,2964;;;;;;
0002PL0005;2;2022-04-11;TIME;0,025;0;;;;;
0002PL0006;1;2022-04-11;FLAT;0,2964;;;;;;
